Unnamed: 0,Owner,Pending days,Month,Feedback Date,Customer,End Customer,Region,Country,Key Account Status,Sales manager,Business Unit & Product,First Tier Category,Second Tier Category,Third Tier Category,Third Tier+ Category,Description,Repeat times,Filling Machine,Packaging Material,Production Date,Format,Defect Pic,Issues category,Reject category,Reject detailed reason,Department,DIC,Status,MMI status,Latest Status,History,Sample tracking NO.,Sample received date,Root cause,Actions on filling machine,Corrective action,Person in charge,Action Due Date,Converting Machine,OA CAPA Process Number,Issue Claim Paper Date,Close Claim Paper Date,Claim no,Claim Qty(pcs),Claim Qty(details),Internal CAPA Issue Date,Internal CAPA Receive Date,Internal response time,External CAPA Submit Date,Response time,Feedback lead time,CRM case number,To do list,Hyperlink,Defect Code,Is the detection system detectable?,Claim amount
10,celina,0,jan,2024-01-18,aseptic packaging,aseptic packaging,cis-俄语区,kazakhstan,n,dana yessenbayeva,ks aseptic i,transportation_运输,transportation_运输_,transportation damge 运输破损,物流运输类,纸芯管变形,3,"not related with filling machine, so no filling machine type",049909/31040008 049909/31020006,2023-12-08 00:00:00,1lf,unavailable,unaccepted,customer's abnormal production equipment or testing equipment.,"the packing video shows no abnormality, lamipak will compendsate customer if needed.",filling machine,filling machine,close,unavailable,销售回复报告给客户后客户未再提起此事 建议客户端常备扩张器以恢复变形的core,"出货照片和装柜照片都无异常，一托4卷，总高1.23m,且是栈板最上面的2个卷纸芯管变形，客户打开护饼应发现并第一时间拍照而非将两卷都搬移到其他栈板上拍照。客户拍照的栈板非乐美发货栈板，栈板上的垫纸也非乐美发货的垫纸，故拒绝客诉 待销售确认是否走商务赔付客户--open",unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,2个整卷纸芯管变形不良：21000*2=42000pcs,unavailable,2024-01-18 00:00:00,2024-01-18 00:00:00,0.0,2024-01-19 00:00:00,1.0,41.0,unavailable,unavailable,unavailable,unavailable,False,0.0
11,coco,0,jan,2024-01-19,sun magic,sun magic,eu-欧洲区,united kingdom,n,stephen g hughes,ks paper straw,transportation_运输,transportation_运输_,pallet unloading issue 栈板卸货问题,物流运输类,栈板上箱子未缠缠绕膜，导致客户端卸货不方便,1,"not related with filling machine, so no filling machine type",lmhkgbr005482,2023-11-27 00:00:00,paper straw,unavailable,feedback,unavailable,unavailable,paper straw,paper straw,close,unavailable,内部提供改善措施，结案。,unavailable,unavailable,unavailable,内部： 纸箱尺寸错误，被使用。 外部： 供应商部分纸箱尺寸错误，未发现被使用。 （漏包装）未按标准进行打包作业。 紧急出货没有与客户进行相关事项沟通。,unavailable,纸箱尺寸错误投诉供应商进行改善/原料检验增加相关检验项目/纸吸管内部更新质量管控流程，完善质量识别点,linda li/linda li/sunny li&dongpo fu,20240128/20240128/20240128,unavailable,20240417-0425,unavailable,unavailable,unavailable,unavailable,unavailable,2024-01-20 00:00:00,2024-01-25 00:00:00,3.0,2024-01-22 00:00:00,1.0,53.0,unavailable,加到0428capa审核,unavailable,unavailable,False,0.0
12,coco,0,jan,2024-01-20,idp bavi,idp bavi,gka&sea-大客户及东南亚,vietnam,n,hoan nguyen,ks aseptic i,transportation_运输,transportation_运输_,transportation damge 运输破损,物流运输类,货物倒塌导致破损,4,"not related with filling machine, so no filling machine type",050680 5# pallet 050679 24# pallet,2023-12-29 00:00:00,125s,unavailable,claim,unavailable,unavailable,logistic,logistic,close,unavailable,客户移除破损部分后继续使用 预估损失金额2000元,unavailable,unavailable,unavailable,the pallet moved backward a short distance and fell down during transportation,unavailable,"after loading the last pallet before shipping,  use the tie-down winch to fix the pallets and make sure the string is tightened /to search better tie-down winch to fix pallet reduce the possibility of pallet moving during long distance transportation.",王亚辉/王亚辉,20240505/20240505,unavailable,20240417-0426,unavailable,unavailable,unavailable,unavailable,unavailable,2024-01-24 00:00:00,2024-01-29 00:00:00,3.0,2024-01-30 00:00:00,6.0,22.0,unavailable,加到0428capa审核,unavailable,unavailable,False,0.0
13,celina,0,jan,2024-01-22,idp cuchi,idp cuchi,gka&sea-大客户及东南亚,vietnam,n,hoan nguyen,ks aseptic i,lamination_复合,coating_quality_淋膜品质,foil missing 铝箔缺失,功能类,问题1：铝箔未覆盖到边缘，约差0.5mm，约400包。卷外到第一个接头 问题2：靠近边缘位置有铝箔压印，褶皱,1,"not related with filling machine, so no filling machine type",048543/35090018,2023-12-19 00:00:00,125s,unavailable,unaccepted,normal phenomenon,"per checked the sample, only 3mm foil didn't cover the edge and due the teflon guide casued the edge webs has foil wrinked phenomenon",filling machine,filling machine,close,unavailable,已出具保证书。后客户未再客诉因铝箔引起完整性等相关客诉。关闭case,"1： mapping：---这个mapping很难做，每卷都有可能不一样。如果分切尺寸下限肯定没问题，如果上限就说不准了，纸张的收缩，铝箔的晃动，这些都是现在无法确认的。复合的铝箔覆盖尺寸达到了质量标准，确认是不是分切切宽了导致漏白。 2：qc5米样也有客诉的现象----0125：1.复合工段： 此订单生产时间与现场质量检测频率错开（铝箔折痕线到铝箔边距离：4小时测一次，生产是每卷测试）。2.分切工段：外观检验每班一次，分切尺寸是setup及调整尺寸必检，也未检验到此订单 3：小于0.5mm以内的，最近两三年让步放行至少15次 4：jack复核认为铝箔露白为0.2mm--0125：客诉样品测量尺寸，露白0.3mm，折痕线到边的距离25.8，折痕线到铝箔的尺寸25.5，标准25.5±0.5mm,这种情况建议客户直接用就行，不会有任何风险。 综合以上信息，帮忙确认： a：是否请客户  报废  铝箔导致的露白部分（已知约400包），以及承担同类现象的同po其他卷也有此不良产生的成本 b：还是结合工程师建议，出具保证函 c：抑或等样品回来查看后再行判断 _x0001__x001B__x0002__x001C_ _x001B__x000B__x001C__x000E__x001B__x0010__x001C__x0017__x001B_v_x001C_w_x001B_x_x001C_{_x001B__x001C_mnmnmn´mµnämænùmþnî_x001B_ï_x001C_ð_x001B_ó_x001C_ø_x001B_ć_x001C_ĉ_x001B_ċ_x001C_č_x001B_č_x001C_đ_x001B_ě_x001C_ġmĥnımķnŀ",unavailable,2024-01-24 00:00:00,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,400pcs,unavailable,2024-01-22 00:00:00,2024-01-23 00:00:00,1.0,2024-01-23 00:00:00,1.0,34.0,unavailable,unavailable,unavailable,unavailable,False,0.0
14,celina,0,jan,2024-01-26,del monte philippines,del monte philippines,gka&sea-大客户及东南亚,philippines,n,mary mamangun zapata,ks aseptic i,after_filling_灌装后,cap_straw_application_贴盖_管,cap_straw_application_贴盖_管,上机匹配性,商业单探测不到plh孔，打样单可以 生产日期： 044577-打样单->2023/8/4 050207-商业单->2023/12/6,1,cap30 flex,044577-打样单 050207-商业单,2023-12-06 00:00:00,1lp,unavailable,unaccepted,customer's abnormal production equipment or testing equipment.,"plh dimension/plh position are under factory standard; after calibrating of plh camera on 17th-feb, issue eliminated",filling machine,filling machine,close,y,20240227：寄回的利乐样品测试了吸管孔大小/吸管孔距离上折痕/吸管孔距离左折痕/折痕线到边（g)/折痕线到边（l)/内层粘力/复合层粘力/边渗都和乐美相比没有差异。 2月17号工程师校正了plh定位后问题解决。但是依然需要比对乐美和竞品的差异,孔的大小和孔的位置都在标准之内，需要工程师现场调整摄像头的位置。,unavailable,unavailable,unavailable,"electrical cabinet, safety system faults - safety system faults troubleshooting conducted and resolved by del monte  technical team. - during preparation, encountered heat exchanger water pump overload. actions done: lamipak supported and provided below actions: o check sensitivity of circuit protection (u70f0100) changed sensitivity  0.63 but still alarm. o found out the mechanical switching the auxiliary contact and io module  was broken. o to change circuit protection and io module. - after replacement of parts, the machine was step-up to preparation and was  able to proceed to production",unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,"客诉po出货量162,600",unavailable,2024-01-26 00:00:00,2024-01-30 00:00:00,2.0,2024-01-30 00:00:00,2.0,51.0,unavailable,unavailable,unavailable,unavailable,False,0.0
15,coco,0,jan,2024-01-29,idp bavi,idp bavi,gka&sea-大客户及东南亚,vietnam,n,hoan nguyen,ks aseptic i,slitting_分切,appearance_分切外观,slitting foreign material 分切异物,物理指标类,纸芯管内脏污(类似于油污),2,"not related with filling machine, so no filling machine type",050982 31050149 分切卷,2023-12-31 00:00:00,125s,unavailable,claim,unavailable,unavailable,production,slitting,close,unavailable,分析报告已提供，cn已开，客户无更多concern，可close。,unavailable,unavailable,unavailable,卡盘出故障，导致油污甩出。,unavailable,增加卡盘检查到点检表，每班检查/卸卷时检查纸芯管内部,胡正朋/胡正朋,20240130/20240130,unavailable,20240226-0421,2024-03-07 00:00:00,2024-03-15 00:00:00,pw202401003,21000,unavailable,2024-01-30 00:00:00,2024-01-31 00:00:00,1.0,2024-01-31 00:00:00,2.0,29.0,unavailable,加到0428capa审核,unavailable,unavailable,False,335.37
16,coco,0,jan,2024-01-29,sadafco jeddah,sadafco jeddah,isu-印度沙特阿联酋,saudi arabia,n,syed sajid shaik,ks auxiliary materials,raw_material_原材料,pp_strip_pp条,pp bobbin damagepp条的盘受损,食品安全类,万丰pp条的盘端面不平,1,"not related with filling machine, so no filling machine type",r23101638a1 reel no.:38# 合同号：fsclmkssau004677,2023-10-01 00:00:00,wf strip,unavailable,unaccepted,customer's abnormal production equipment or testing equipment.,"customer feedback that there is only one reel deformation. if there is any deformation during the supplier's production process, adjacent reels will also deform, and operators already tested. 客户反馈只有一卷变型。供应商生产过程中如果有变型，相邻卷也会变型，且员工有检测。",filling machine,filling machine,close,unavailable,客户已经无更多concern，可close.,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,2024-01-30 00:00:00,2024-02-01 00:00:00,2.0,2024-01-31 00:00:00,2.0,120.0,unavailable,unavailable,unavailable,unavailable,False,0.0
17,celina,0,jan,2024-01-30,davat beverages,davat beverages,isu-印度沙特阿联酋,india,n,sandeep sharma,ks paper straw,transportation_运输,transportation_运输_,transportation damge 运输破损,物流运输类,2箱纸吸管运输破损,1,"not related with filling machine, so no filling machine type",041359/lmhkind004265,2023-04-11 00:00:00,paper straw,unavailable,unaccepted,improper transportation or storage by customer,goods are in sound condition when loading;suppose the claimed 2 boxes are hit and scratched by other pallet when unloading,filling machine,filling machine,close,unavailable,走商务赔付客户2箱,"the good loaded to the container, the good are in good condition. it's hight possibility that damage caused by customer's unloading process",unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,2024-02-08 00:00:00,2024-04-02 00:00:00,pw202401001,34000,unavailable,2024-01-30 00:00:00,2024-02-02 00:00:00,3.0,2024-02-02 00:00:00,3.0,294.0,unavailable,unavailable,unavailable,unavailable,False,312.8
18,coco,0,jan,2024-01-31,nong pho,nong pho,gka&sea-大客户及东南亚,thailand,n,jesadawuth sangkawanna,ks aseptic i,lamination_复合,appearance_淋膜外观,foil wrinkle 铝箔打皱,外观类,原铝箔打皱,1,"not related with filling machine, so no filling machine type",045585/34080008,2023-09-03 00:00:00,125s,unavailable,feedback,unavailable,unavailable,production,lamination,close,unavailable,待销售提供赔偿数量和金额 供应商改善报告及佐证资料已提供,unavailable,unavailable,unavailable,"according to the defect sample and defect position , the defective position  is close to foil material’s cylinder core, slight sticking of the cylinder core cause the foil wrinkle.",unavailable,"when the product is used, lamipak arranges technical engineers to do on site tracking./continuous improvement actions from foil supplier:optimize the annealing process and conduct spot checks on the roll unfolding of the core in each furnace to prevent slight sticking caused by untimely process adjustment in case of large temperature fluctuations, which may affect customer use.for the inventory products will be delivered to lamipak, the supplier will do troubleshooting to avoid the wrinkle.",lamipak engineer/supplier,20240131/20240131,unavailable,20240417-0427,unavailable,unavailable,unavailable,unavailable,unavailable,2024-01-31 00:00:00,2024-02-01 00:00:00,1.0,2024-02-05 00:00:00,3.0,150.0,unavailable,加到0428capa审核,unavailable,unavailable,False,0.0
19,coco,0,jan,2024-01-31,wang nam yen,wang nam yen,gka&sea-大客户及东南亚,thailand,n,jesadawuth sangkawanna,ks aseptic i,transportation_运输,transportation_运输_,transportation damge 运输破损,外观类,边缘撞伤,5,"not related with filling machine, so no filling machine type",045757/32010001,2023-09-05 00:00:00,200s,unavailable,unaccepted,improper transportation or storage by customer,"栈板最下方一卷，运输过程中被撞伤导致，商务赔付 the bottom roll of the pallet was damaged during transportation due to crush, and commercial compensation will be paid",filling machine,filling machine,close,unavailable,在2/6的运输破损里一起赔偿了,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,2024-01-31 00:00:00,2024-01-31 00:00:00,0.0,2024-02-02 00:00:00,2.0,148.0,unavailable,unavailable,unavailable,unavailable,False,0.0
